property_name,property_address,latitude,longitude,OpenStreetMap_address,property_price,property_description,tipe_property,certificate,dilengkapi_perabotan,kondisi_properti,jalur_telepon,jumlah_lantai,daya_listrik,tanggal_tayang,luas_bangunan,luas_tanah,kamar_tidur,kamar_mandi,garasi_mobil
"rugi rumah mewah!!!, Bukit Kecil, Palembang","Bukit Kecil, Palembang ",-2.9879814500000004,104.75050793435676,"Bukit Kecil, Palembang, Sumatera Selatan, 30135, Indonesia",Rp. 1.500.000.000,"Dijual RUGI Rumah Mewah 2 Lantai !!

Spesifikasi :
Luas Tanah : 120 M 
Luas Bangunan : 140 M ( 2 Lantai )
Ruang Tamu & Keluarga
Ruang Laundry/ Cuci Jemur 
Kamar Tidur 4 ( besar2 )
Kamar Mandi 4 ( 3 di dalam kamar & 1 di luar )
Sertifikat SHM
IMB
Full Tralis Tiap Jendela
Lantai Full Granite
Canopy
Listrik 3500 Watt
Air PAM
Bak Penampungan Setara 8 Tedmon
Carport

Bonus : 
AC 4 Unit
Free Kompor Tanam Modena
Free Kitchen Set
Free Lampu Hias
Free 1 Tedmon
Free Gordyn, dll

Keunggulan :
Lokasi Strategis Di Pusat Kota Palembang
One Gate System
Spesifikasi Bangunan Premium
Bebas Banjir
Akses Jalan, Lebar
5 Menit Ke RS Myria
5 Menit ke Pasar Palimo
5 Menit Ke Stasiun Lrt
3 Menit Ke Sekolah Al Azhar Terbaru

Ini SUDAH JUAL RUGI BGT ya!! YG NAWAR DI BAWAH 1M TDK BISA ya!! Sekarang lagi di BANGUN Sekolah AL AZHAR di Jl.Sukarela ujung sudah 50% pembangunan. Tahun depan jadi&",Rumah,SHM - Sertifikat Hak Milik,Semi Furnished,Bagus Sekali,4,4,3500,07 Jan 2021, 140 m², 120 m²,4,4,4
"Rumah 2 Lantai Full Furnish di Komplek Citra Grand City Palembang, Alang Alang Lebar, Palembang","Alang Alang Lebar, Palembang ",-2.9557179,104.6706955,"Alang Alang Lebar, Palembang, Sumatera Selatan, 30151, Indonesia",Rp. 1.500.000.000,"WA Sekarang :
Tita : 081359627477

New Listing Jual Rumah 2 Lantai Full Furnish di Komplek Citra Grand City Palembang

Luas tanah : 120 m
Luas bangunan : 150 m
Kamar tidur : 3 unit
Kamar mandi : 3 unit
Jumlah lantai 2

Harga : Rp 1.500.000.000

Spesifikasi :
Sertipikat Hak Milik
Listrik 3500 Watt
Air ATS

Furnished:
AC 4 unit
Spring bed 2 unit
Lemari pakaian
Set meja makan
Set meja makan dan kursi
Set sofa ruang tamu dan meja
Smart tv 42inch
Meja Lemari Pantry
Kompor tanam

Deskripsi:
Rumah berada dalam Komplek Citra grand City Cluster Summer Meadow, one gate system, security 24 jam. Lokasi bebas banjir, parkir luas, ada fasilitas kolam renang, jogging track, sekolah internasional dan tempat ibadah.",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,,2,3500,07 Jan 2021, 150 m², 120 m²,3,3,
"Rumah Cantik dan Lucu serta Minimalis di Palembang, Alang Alang Lebar, Palembang","Alang Alang Lebar, Palembang ",-2.9557179,104.6706955,"Alang Alang Lebar, Palembang, Sumatera Selatan, 30151, Indonesia",Rp. 875.000.000,"Dijual Rumah di Perumahan Florista Garden Palembang

Dengan konsep rumah tumbuh, yaitu rumah yang masih bisa dikembangin lagi ketika anggota keluarga anda sudah semakin banyak,

Uk.7x15
LB105
Kamar 3+1

Fasilitas paling lengkap, yaitu:
- Swimming pool
- Fitness center 
- Lapangan Basket
- Perpustakaan mini 
- Playground

Info lebih lanjut, hubungi skrg jg!",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Baru,1,2,2200,10 Nov 2020, 105 m², 105 m²,3,3,2
"Rumah Jln Mayor Zurbi Bustan, Lebong Siarang Palembang, Sukarame, Palembang","Sukarame, Palembang ",-2.9038353,104.71415723280438,"Sukarame, Palembang, Sumatera Selatan, Indonesia",Rp. 1.000.000.000,"WA Sekarang :
Andra : 082184111882
Rakhmat : 081377971122

New Listing Jual Rumah Jln Mayor Zurbi Bustan, Lebong Siarang Palembang

Luas Tanah : 400 m2
Luas Bangunan : 150 m2
Kamar tidur : 3 unit
Kamar mandi : 2 unit

Harga : Rp 1.000.000.000

Spesifikasi :
Sertifikat Hak Milik
Air PAM + Sumur
Listrik : 1300 watt

Deskripsi :
Rumah bagus posisi Hook, di depan rumah ada masjid, kawasan sudah padat pemukiman, akses ke Mall dan Bandara dekat.",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,,,1300,31 Dec 2020, 150 m², 400 m²,3,2,
"Rumah 220/240 Komplek PHDM XII Jln Martadinata Dekat Pusri Palembang, Kalidoni, Palembang","Kalidoni, Palembang ",-2.9504179,104.8034681,"KALIDONI, Palembang, Sumatera Selatan, 30119, Indonesia",Rp. 1.750.000.000,"Call/WA : 0816-382660

Dijual Rumah 220/240 Komplek PHDM XII Jln Martadinata Dekat Pusri Palembang

LT : 240
LB : 220
KT : 4 unit
KM : 3 unit
Listrik : 1300 watt + 900 watt
Carport dan Garasi 2 Mobil
PAM

Harga : Rp. 1,750 M

SHM, IPB, PBB lengkap

Call/WA : 0816-382660",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,,,1,2200,18 Aug 2020, 220 m², 240 m²,4,3,1
"rumah besar tanah luas 10 menit dari unsri, Bukit Kecil, Palembang","Bukit Kecil, Palembang ",-2.9879814500000004,104.75050793435676,"Bukit Kecil, Palembang, Sumatera Selatan, 30135, Indonesia",Rp. 1.900.000.000,"rumah besar dg tanah Yang luas, sangat cocok untuk hunian keluarga lokasi strategis hanya 10 menit dari unsri",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,,1,2200,20 Dec 2020, 500 m², 643 m²,5,5,3
"cluster modern mewah dengan fasilitas waterboom di pusat kota palembang sumatera selatan, Sematang Borang, Palembang","Sematang Borang, Palembang ",-2.94182715,104.82105484830586,"Sematang Borang, Palembang, Sumatera Selatan, Indonesia",Rp. 770.000.000,"Telah hadir Perumahan Multi Estate. claster mudern di dalam kota palembang sumatera selatan.
- 800 meter dari terminal dan pasar kenten
- 10 menit lapangan golf kenten.
- 10 menit ke Mal PTC. 
- 15 menit ke bandara sultan badarudin II.
-pasilitas taman wisata water boom.
-rumah 2lt 
- tanah 96 
-bangunan 90.
- 3 kamar tidur 2 kamar mandi.. harga promosi 770 jt",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,,1,2,2200,27 Dec 2020, 90 m², 96 m²,3,2,1
"Rumah 700/489 di Kampus dekat TVRI & PS ditengah kota Palembang, Ilir Barat II, Palembang","Ilir Barat II, Palembang ",-2.99850145,104.74414825731299,"Ilir Barat II, Palembang, Sumatera Selatan, Indonesia",Rp. 8.000.000.000,"Call/WA : 0816-382660

Dijual Rumah 700/489 di Kampus dekat TVRI & PS ditengah kota Palembang

LB : 700
LT : 489
KT : 3+1
KM : 4+1
Listrik 6600 

Call/WA : 0816-382660",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Bagus Sekali,,2,6600,18 Aug 2020, 700 m², 489 m²,3,4,
"Beli rumah di lokasi strategis, bebas biaya surat-surat., Seberang Ulu I, Palembang","Seberang Ulu I, Palembang ",-3.0139369499999997,104.77189834322922,"Seberang Ulu I, Palembang, Sumatera Selatan, Indonesia",Rp. 395.000.000,"Perumahan terbaik di area commersil yang sedang berkembang pesat di jakabaring.


Bebas biaya AJB, BBN dan BPHTB.


Promo dapatkan hadiah langsung tanpa di undi, HP, TV, AC, dll.


lokasi sangat strategis karna berada di pinggir akses jalan poros, hanya 5 menit saja dari OPI Mall palembang.

rumah type 36 luas tanah 90m2 harga 395 juta, Dp hanya 10% dari harga jual.

info hubungi ; Nisa
082115811717/0895637309013",Rumah,SHM - Sertifikat Hak Milik,,Baru,,,1300,04 Oct 2020, 36 m², 90 m²,2,1,
"Rumah Jln Tanah Merah 4 Belakang Griya Agung Palembang, Ilir Barat I, Palembang","Ilir Barat I, Palembang ",-2.970133,104.67994114097745,"Ilir Barat I, Palembang, Sumatera Selatan, Indonesia",Rp. 500.000.000,"WA Sekarang :
Zaki : 081384332211

New Listing Jual Rumah Jln Tanah Merah 4 Belakang Griya Agung Palembang

Luas tanah : 150 m2
Luas bangunan : 120 m2
Kamar tidur : 3 unit
Kamar mandi : 2 unit

Harga : Rp 500.000.000

Spesifikasi :
Sertipikat Hak Milik
PBB
Listrik 1300 watt
Air PAM
Garasi Mobil 1 Buah

Nilai Lebih :
Akses jalan 2 mobil
Dekat Masjid
Dekat Istana Gubernur
Dekat Mall Palembang Square, Palembang Icon
Dekat Sekolah MAN 3 Palembang

Deskripsi :
Rumah siap huni, lingkungan padat penduduk, berada di
Lingkungan Aman dan Nyaman.",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,,,1300,31 Dec 2020, 120 m², 150 m²,3,2,
"Rumah 300-an murah Palembang, Alang Alang Lebar, Palembang","Alang Alang Lebar, Palembang ",-2.9557179,104.6706955,"Alang Alang Lebar, Palembang, Sumatera Selatan, 30151, Indonesia",Rp. 378.000.000,"INVESTASI CERDAS UNTUK MASA DEPAN!!



Green Center Park Palembang

Lokasi strategis, harga termurah dikelasnya.

Cicilan mulai dari 2,5jutaan dan 3 jutaan.

Promo Terbatas::

*Tanpa DP(untuk KPR Pertama)
*Cashback 10%
*Bonus free biaya akad KPR.
*Bonus free biaya AJB, BPHTB, dan Balik Nama

Fasum:
One gate system
Cctv 24 jam
Ruang serbaguna
Mushola
Jalan komplek lebar 7-8meter
Taman bermain

Fasum luar komplek:
Dekat MCD
Dekat Cinema mall
Dekat Danau eco
Dekat Giant
Dekat bandara
Dekat sekolah 
Dekat pasar tradisionall
Jooging track

Segera dapatkan unitnya sebelum kehabisan!!

Info2: 0813 5320 9990",Rumah,SHM - Sertifikat Hak Milik,,Baru,,1,1300,19 Nov 2020, 40 m², 98 m²,2,1,
"Rumah Jln Sukarela, Perumahan Villa Charita Indah Palembang, Sukarame, Palembang","Sukarame, Palembang ",-2.9038353,104.71415723280438,"Sukarame, Palembang, Sumatera Selatan, Indonesia",Rp. 300.000.000,"WA Sekarang :
Samsul : 082176363976

New Listing Jual Rumah Tipe 45 Jln Sukarela, Perumahan Villa Charita Indah Palembang

Luas tanah : 120 m2
Luas bangunan : 45 m2
Kamar tidur : 2 unit
Kamar mandi : 1 unit

Harga : Rp 300.000.000

Spesifikasi :
Sertipikat Hak Milik
PBB
IMB
listrik 1300 watt
Air PDAM dan sumur

Deksripsi
Rumah berada di kawasan ramai penduduk dan dalam komplek, dekat dengan fasilitas umum, posisi di belakang DKK kota Palembang, juga dekat :
Stasiun LRT Punti Kayu 5 menit
RS Myria atau Charitas 5 menit
SPBU

Kawasan cocok untuk tempat tinggal, rumah lama tidak di huni
Perlu renovasi.",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,,,1300,31 Dec 2020, 45 m², 120 m²,2,1,
"Rumah Mewah 500/736 di Kambang Iwak Tengah Kota Palembang, Bukit Kecil, Palembang","Bukit Kecil, Palembang ",-2.9879814500000004,104.75050793435676,"Bukit Kecil, Palembang, Sumatera Selatan, 30135, Indonesia",Rp. 12.500.000.000,"Call/WA : 0816-382660

Dijual Rumah Mewah 500/736 di Kambang Iwak Tengah Kota Palembang

Luas tanah : 736 m2 
Luas bangunan : 500 m2 
Kamar Tidur : 6 unit 
Kamar Mandi : 5 unit 

Harga : Rp 12.500.000.000 

Spesifikasi : 
Sertifikat Hak Milik IMB PBB 
Listrik 3500 watt 
Air PAM 24 jam 

Deskripsi : Rumah bagus dan mewah siap huni, bentuk desain berkelas full jati, kondisi Semi Furnish (AC, Kitchen set, mini bar) gazebo halaman belakang asri dan nyaman, mudah dijangkau dari berbagai lokasi strategis dan favorit kota Palembang 

Call/WA : 0816-382660",Rumah,SHM - Sertifikat Hak Milik,Semi Furnished,Bagus,1,1,3500,18 Aug 2020, 500 m², 736 m²,6,5,1
"Rumah mewah CitraLand Palembang 2 lantai bergaya Eropa 4 kamar tidur, Kertapati, Palembang","Kertapati, Palembang ",-3.0224718,104.7503114,"Kertapati, Palembang, Sumatera Selatan, 30252, Indonesia",Rp. 2.592.846.224,"CitraLand Palembang Tipe Onega 2 merupakan tipe rumah mewah 2 lantai yang dilengkapi dengan 4 kamar tidur, 3 kamar mandi, 1 kamar tidur pembantu, 1 kamar mandi pembantu, gudang, ruang keluarga, ruang tamu, ruang makan, dapur, teras, halaman belakang, garasi, carport untuk 2 mobil, foyer dan balkon. Tipe Onega 2 memiliki luas bangunan 201 meter persegi dan luas tanah 240 meter persegi.
Keunggulan dari CitraLand Palembang
Lokasi Terbaik Strategis
Aksesibilitas Mudah (Dekat Pintu Tol Palindra KaPalBetung, 15 menit menuju pusat Kota, Mall, Rumah Sakit, Pemerintahan, Unsri, 20 Menit menuju Bandara 10 Menit menuju Stasiun)
Kawasan Terintegrasi
Pusat Bisnis CBD Terbesar
Konsep View Danau
Fasilitas lengkap (Waterpark, Club House, Mall, Sarana Ibadah Kesehatan)
Lingkungan Asri Hijau
Investasi Developer Terpercaya
Fasilitas yang terdapat pada CitraLand Palembang, yaitu :
Club House
Keamanan 24 Jam plus CCTV
Taman Bermain Anak
One Gate System
Taman
Waterpark
View Danau
Jogging Trcak",Rumah,HGB - Hak Guna Bangun,Unfurnished,Baru,1,2,3500,13 Oct 2020, 201 m², 240 m²,4,3,1
"Beli rumah dapet hadiah langsung tanpa di undi loh, Seberang Ulu I, Palembang","Seberang Ulu I, Palembang ",-3.0139369499999997,104.77189834322922,"Seberang Ulu I, Palembang, Sumatera Selatan, Indonesia",Rp. 499.000.000,"Rumah sehat dan sangat cantik type 48 luas tanah 90m2.
fasilitas lengkap sperti taman, mushola, gedung serbaguna, pasar , club house.
lokasi juga dekat dengan mall, stadion gsj jakabaring, rumah sakit, dll.

unit terbatas tinggal sisa beberapa unit lagi.

info hubungi ; Nisa
082115811717/0895637309013",Rumah,SHM - Sertifikat Hak Milik,,Baru,,,1300,21 Sep 2020, 48 m², 90 m²,2,1,
"Cluster orchid residence Exhibition 2 Type 36, Seberang Ulu I, Palembang","Seberang Ulu I, Palembang ",-3.0139369499999997,104.77189834322922,"Seberang Ulu I, Palembang, Sumatera Selatan, Indonesia",Rp. 395.000.000,"Sudah di penghujung akhir tahun...
Tapi..
Masih aja belum punya rumah..
Ngontrak rumah gak habis"" nya
Mending ambil rumah kredit saja
Surat SHM..proses KPR dan NON KPR
Semi komersil....type 36 punya KT2 KM1
Kawasan pengembangan kota di jakabaring yg semakin lama semakin maju...
DP minimal 10% sdh termasuk Booking Fee
PROMO CASHBACK 10JT S&K BERLAKU. TUNGGU APALAGI!!
Info hubungi 082115811717 / 0895637609013",Rumah,SHM - Sertifikat Hak Milik,,Baru,,,1300,03 Nov 2020, 36 m², 90 m²,2,1,
"Rumah di Talang semut, Talang Semut, Palembang","Talang Semut, Palembang ",-2.993365,104.7452061,"Jalan Talang Kerangga, RW 09 Kel. Talang Semut Kec. Bukit Kecil, Ilir Barat II, Palembang, Sumatera Selatan, 30135, Indonesia",Rp. 15.000.000.000,Rumah yg berlokasi di pusat kota cocok sekali untuk kantor /tempat usaha,Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Butuh Renovasi,,1,,15 Dec 2020, 250 m², 1115 m²,3,2,
"rumah mewah dengan kolam renang pribadi di poligon, Bukit Kecil, Palembang","Bukit Kecil, Palembang ",-2.9879814500000004,104.75050793435676,"Bukit Kecil, Palembang, Sumatera Selatan, 30135, Indonesia",Rp. 6.500.000.000,"di jual rumah full furnished dengan di lengkapi kolam renang, sangat cocok utk hunian keluarga",Rumah,SHM - Sertifikat Hak Milik,Furnished,Bagus Sekali,1,2,5500,05 Dec 2020, 686 m², 668 m²,5,7,
"Hunian Exclusip di belakang jm Mall plaju, Plaju, Palembang","Plaju, Palembang ",-3.0103848500000003,104.82151254714321,"Plaju, Palembang, Sumatera Selatan, 30268, Indonesia",Rp. 585.000.000,"jaya 6 residen perumahan exclusip di plaju, lokasi strategis
-4 menit dari jm mall plaju
-5 menit dari universitas muhadiah, pgri dan universitas bina darma

tersedia Type 54. 60. dan 80",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Baru,,1,1300,04 Dec 2020, 50 m², 105 m²,2,2,
"Hunian exclusip 3 menit dari RS Myria, Sukarame, Palembang","Sukarame, Palembang ",-2.9038353,104.71415723280438,"Sukarame, Palembang, Sumatera Selatan, Indonesia",Rp. 608.000.000,"ningrat sukarela hunian exclusip dengan konsep villa di sukarela lokasi hanya 
3 menit dari rs myria
3 menit dari gramedia word 
5 menit ke jm mall
10 menit ke bandara 
sangat cocok menjadi pilihan hunian keluarga tercinta",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Baru,,1,1300,05 Dec 2020, 52 m², 142 m²,2,1,
"2 Unit Rumah di Komplek Citra Grand City Palembang, Alang Alang Lebar, Palembang","Alang Alang Lebar, Palembang ",-2.9557179,104.6706955,"Alang Alang Lebar, Palembang, Sumatera Selatan, 30151, Indonesia",Rp. 1.200.000.000,"WA Sekarang :
Faisal : 0812731312973

New Listing Jual 2 Unit Rumah di Komplek Citra Grand City Palembang

Luas tanah : 180 m
Luas bangunan : 72 m
Kamar tidur : 2 unit
Kamar mandi : 2 unit

Harga : Rp 1.200.000.000 / 2 unit

Spesifikasi :
Sertipikat HGB
Listrik 1300 watt
Air ATS

Deskripsi :
Rumah di dalam cluster Summer Meadow Cluster. Lingkungan aman dan nyaman, security 24 jam, one gate system. Akses ke Bandara dekat, Di dalam komplek tersedia fasilitas kolam renang, gym, sekolah, pasar, masjid dan apotik 24 jam.",Rumah,HGB - Hak Guna Bangun,Unfurnished,Bagus,,,1300,06 Jan 2021, 72 m², 180 m²,2,2,
"Harga perdana Perumahan baru dibelakang istana gubernur, Ilir Barat I, Palembang","Ilir Barat I, Palembang ",-2.970133,104.67994114097745,"Ilir Barat I, Palembang, Sumatera Selatan, Indonesia",Rp. 754.000.000,"villa cipta indah perumahan baru pusat kota, lokasi strategis pusat 
-5 menit dari istana gubernur 
- 5 menit dari rumah sakit siti khodijah
-8 menit dari Palembang icon mall
- 8 menit dari ps mall
- 10 menit dari unsri",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Baru,,1,1300,04 Dec 2020, 65 m², 104 m²,2,2,
"Perumahan OPI Jaka Baring Palembang, Seberang Ulu I, Palembang","Seberang Ulu I, Palembang ",-3.0139369499999997,104.77189834322922,"Seberang Ulu I, Palembang, Sumatera Selatan, Indonesia",Rp. 1.400.000.000,"HOT NEWS
DI JUAL!!!

Rumah tinggal siap huni baru selesai renovasi, di perum OPI, Jaka Baring Kota Palembang, Provinsi Sumatera Selatan:
- SHM
- Posisi rumah di hook
- Lt 164m
- Lb 120m
- 2kt
- 2km
- Dapur/kitchen sett
- AC 1 unit
- Garasi 3 mobil + motor
- Listrik 1300kwh meteran
- Air PDAM
HARGA 1,4M NEGO
DN001",Rumah,,,,,,1300,28 Oct 2020, 120 m², 164 m²,2,2,3
"Rumah Subsidi di Jalan  Mayor Zen Lorong Abadi Kalidoni Palembang, Kalidoni, Palembang","Kalidoni, Palembang ",-2.9504179,104.8034681,"KALIDONI, Palembang, Sumatera Selatan, 30119, Indonesia",Rp. 140.000.000,"WA Sekarang :
Yudy : 0821 7871 8878

Rumah Subsidi di Jalan Mayor Zen Lorong Abadi Kalidoni Palembang
Dapatkan Rumah Subsidi tengah kota Palembang, dimana lagi lokasi kota ada rumah subsidi?

Apalagi kami masih jual di harga 140juta dimana pembeli bisa langsung dapat untung sekarang senilai 10juta,

Dimana harga rumah subsidi saat ini sudah di harga 150juta.

Mari merapat bagi yang mau rumah subsidi tengah kota beli sekarang untung ny juga sekarang.

Luas tanah : 78 m2
Luas bangunan : 36 m2
Kamar tidur : 2 unit
Kamar mandi : 1 unit
Harga : Rp 140.000.000

Spesifikasi :
Sertifikat Hak Milik
Listrik 1300 watt
Air Sumur 
Carport 1 mobil
Berkeramik
Plafond
Plester Luar Dalam dan di cat

Nilai lebih :
1 menit ke Pondok Pesantren Ponpes Jam'iyyah Khoiriyyah Palembang
2 menit ke Sekolah Dasar Plus Ditawijaya Kalidoni Palembang
2 menit ke Numero Uno Fitness and Aerobics PUSRI Palembang
3 menit ke Sekolah Menengah Pertama SMP Dharma Bakti Palembang
3 menit ke Sekolah Menengah Atas SMA Dharma Bakti Pa",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Baru,,1,1300,23 Sep 2020, 36 m², 78 m²,2,1,
"Rumah mewah 5 menit dari rumah sakit provinsi, Sukarame, Palembang","Sukarame, Palembang ",-2.9038353,104.71415723280438,"Sukarame, Palembang, Sumatera Selatan, Indonesia",Rp. 2.750.000.000,"dijual rumah siap huni bebas banjir lingkungan pejabat. lokasi strategis 
- 5 menit ke rumah sakit provinsi 
- 5.menit ke pasar km 5
- 15 menit ke bandara smb
sangat cocok utk untuk hunian keluar",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,,,2,3300,20 Dec 2020, 330 m², 280 m²,5,5,3
"Hunian bebas biaya AJB, BBN dan BPHTB., Seberang Ulu I, Palembang","Seberang Ulu I, Palembang ",-3.0139369499999997,104.77189834322922,"Seberang Ulu I, Palembang, Sumatera Selatan, Indonesia",Rp. 499.000.000,"Arcadia town center bebas banjir dan sangat strategis di jakabaring.

type 48 luas tanah 90m2 harga 499 juta.

bebas biaya AJB, BBN dan BPHTB.

info hubungi ; Nisa
082115811717/0895637309013",Rumah,SHM - Sertifikat Hak Milik,,Baru,,,1300,30 Nov 2020, 48 m², 90 m²,2,1,
"Rumah di Sako Baru Komplek Griya Maju Palembang, Sako, Palembang","Sako, Palembang ",-2.9255981,104.7864873,"Sako, Palembang, Sumatera Selatan, 30163, Indonesia",Rp. 850.000.000,"Jln sako baru komplek griya maju sako kenten palembang
Uk 16x16
1lt
850jt",Rumah,SHM - Sertifikat Hak Milik,,Bagus,,1,2200,22 Jul 2020, 256 m², 256 m²,3,2,
"Rumah Semi Permanen Lr Buyut, Jln Sungai Tawar Palembang, Ilir Barat II, Palembang","Ilir Barat II, Palembang ",-2.99850145,104.74414825731299,"Ilir Barat II, Palembang, Sumatera Selatan, Indonesia",Rp. 650.000.000,"WA Sekarang :
Ermin : 081397097058

New Listing Jual Rumah Semi Permanen Lr Buyut, Jln Sungai Tawar Palembang

Luas tanah : 212 m2
Luas bangunan : 180 m2
Kamar tidur : 4 unit
Kamar mandi : 3 unit
Jumlah lantai : 2

Harga : Rp 650.000.000

Spesifikasi :
Sertipikat Hak Milik
Listrik 1300 watt
Air PAM

Deksripsi
Rumah di kawasan tengah kota yang sangat ramai, dekat dengan pusat perbelanjaan seperti mall maupun pasar. Akses dapat dijangkau dengan transportasi umum serta dekat juga dengan rumah sakit maupun sekolah. Lokasi cocok untuk hunian hunian keluarga tercinta.",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,,2,1300,30 Dec 2020, 212 m², 180 m²,4,3,
"CitraLand Palembang Rumah 1 lantai 3 kamar tidur dekat pusat kota, Kertapati, Palembang","Kertapati, Palembang ",-3.0224718,104.7503114,"Kertapati, Palembang, Sumatera Selatan, 30252, Indonesia",Rp. 950.969.125,"CitraLand Palembang Tipe Lugano 7 merupakan tipe rumah 1 lantai yang dilengkapi dengan 3 kamar tidur, 1 kamar mandi, ruang keluarga/tamu, ruang makan, dapur,halaman belakang, dan carport untuk 1 mobil. Tipe Lugano 7 memiliki luas bangunan 63 meter persegi dan luas tanah 120 meter persegi.

Keunggulan dari CitraLand Palembang
Lokasi Terbaik Strategis
Aksesibilitas Mudah (Dekat Pintu Tol Palindra KaPalBetung, 15 menit menuju pusat Kota, Mall, Rumah Sakit, Pemerintahan, Unsri, 20 Menit menuju Bandara 10 Menit menuju Stasiun)
Kawasan Terintegrasi
Pusat Bisnis CBD Terbesar
Konsep View Danau
Fasilitas lengkap (Waterpark, Club House, Mall, Sarana Ibadah Kesehatan)
Lingkungan Asri Hijau
Investasi Developer Terpercaya

Fasilitas yang terdapat pada CitraLand Palembang, yaitu :
Club House
Keamanan 24 Jam
Taman Bermain Anak
One Gate System
Taman
Waterpark
Area Komersial
Unit Terbatas !!!!
TINGGAL 1 UNIT",Rumah,HGB - Hak Guna Bangun,Unfurnished,Baru,1,1,2200,13 Oct 2020, 63 m², 120 m²,3,1,
"Rumah Cantik Dalam Komplek Griya Siguntang Palembang, Ilir Barat I, Palembang","Ilir Barat I, Palembang ",-2.970133,104.67994114097745,"Ilir Barat I, Palembang, Sumatera Selatan, Indonesia",Rp. 800.000.000,"WA Sekarang :
Rosalina : 082185895667
Lendra : 081288535034
Alamsyah : 081218179137

New Listing Jual Rumah Cantik Dalam Komplek Griya Siguntang Palembang

Luas tanah : 120 m
Luas bangunan : 78 m
Kamar tidur : 2 unit
Kamar mandi : 2 unit
Jumlah lantai : 2

Harga : Rp 800.000.000

Spesifikasi :
Sertipikat Hak Milik
IMB
Listrik 2200 watt
Air PAM
Ada listrik token juga
Carport batu alam sdh di kanopi
Pagar
Bebas banjir

Bonus tambahan:
AC 2 unit
Tedmon fiber 500 liter
Lemari pakaian tanam 6 pintu
Lemari gantung di dapur
Sofa santai 1
Dispenser panas dingin 1
Kompor tanam rinnai

Deksripsi:
Rumah bagus dan cantik siap huni, komplek one gate, sekurity 24 jam.",Rumah,SHM - Sertifikat Hak Milik,Unfurnished,Bagus,,2,2200,30 Dec 2020, 78 m², 120 m²,2,2,
"Rumah Jln Brigjen Hasan Kasim, Purwosari Celentang, Bukit Sangkal, Kalidoni Palembang, Kalidoni, Palembang","Kalidoni, Palembang ",-2.9504179,104.8034681,"KALIDONI, Palembang, Sumatera Selatan, 30119, Indonesia",Rp. 650.000.000,"Untuk Informasi mengenai properti ini, silakan hubungi
Yudy 

Dijual Rumah Jln Brigjen Hasan Kasim, Purwosari Celentang, Bukit Sangkal, Kalidoni Palembang

Luas tanah : 120m2 ( 6 x 20 )
Luas bangunan : 75 m2
Kamar tidur : 3 unit
Kamar mandi : 2 unit
Jumlah lantai : 1
Hadap : Utara

Harga : Rp. 650.000.000 / unit

Spesifikasi :
Sertipikat Hak Milik
PBB
Listrik 1300 watt
Air PDAM 24 Jam

Nilai lebih :
1 menit ke Rumah Sakit Ibu dan Anak RSIA AZZAHRA
1 menit ke Masjid Daarul Falah
1 menit ke Pempek Cek Tasya
1 menit ke PT. Sahabat Mandiri Kesatria (SMART)
5 menit ke Pasar Tradisional Perumnas
5 menit Terminal Pasar Perumnas
5 menit ke Giant Ekstra Kenten
5 menit ke Indogrosir
5 menit Ke JM Kenten
10 menit ke Lapangan Golf
10 menit Ke Palembang Trade Center PTC MALL
12 menit Ke Bandara Internasional Sultan Mahmud Badaruddin 2

Deskripsi :
Rumah kondisi bagus siap huni, berada di jalan Brigjen Hasan Kasim, Purwosari Celentang, Bukit Sangkal, Kalidoni. Cocok untuk tempat tinggal, Kantor, dan lain",Rumah,SHM - Sertifikat Hak Milik,Semi Furnished,Bagus Sekali,,1,1300,23 Sep 2020, 120 m², 75 m²,3,2,2
